code;bahnhof_haltestelle;bezugsjahr;kanton;eigner;dtv;dwv;dnwv;bemerkungen;remarques;note;remarks;geopos;lod
AA;Aarau;2018;AG;SBB;37900;44800;22700.0;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;47.3913553369, 8.05125354274;http://lod.opentransportdata.swiss/didok/8502113
AD;Aadorf;2018;TG;SBB;1700;2000;1000.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.4881178542, 8.90328450849;http://lod.opentransportdata.swiss/didok/8506013
ADZ;Ardez;2018;GR;RhB;240;250;240.0;;;;;46.7735451754, 10.2010487691;http://lod.opentransportdata.swiss/didok/8509266
AE;Aesch;2018;BL;SBB;2000;2400;1300.0;;;;;47.4677359724, 7.60305476436;http://lod.opentransportdata.swiss/didok/8500117
AF;Affoltern am Albis;2018;ZH;SBB;6800;8100;4000.0;;;;;47.276064074, 8.44658239143;http://lod.opentransportdata.swiss/didok/8502224
AL;Altdorf;2018;UR;SBB;460;500;390.0;;;;;46.8757407268, 8.63156572016;http://lod.opentransportdata.swiss/didok/8505113
ALD;Luzern Allmend;2018;LU;ZB;1600;1600;1600.0;;;;;47.0350821216, 8.30330764098;http://lod.opentransportdata.swiss/didok/8508321
ALL;Allaman;2018;VD;CFF;3400;4100;1700.0;;;;;46.4757395273, 6.39970400408;http://lod.opentransportdata.swiss/didok/8501035
ALTD;Altendorf;2018;SZ;SBB;850;980;560.0;;;;;47.193966384, 8.82288898291;http://lod.opentransportdata.swiss/didok/8503211
BAA;Baar;2018;ZG;SBB;8900;10700;5000.0;;;;;47.1953625991, 8.52325583517;http://lod.opentransportdata.swiss/didok/8502206
BAE;Bäch;2018;SZ;SBB;520;570;420.0;;;;;47.2009791623, 8.72716324608;http://lod.opentransportdata.swiss/didok/8503208
BCT;Boncourt;2018;JU;CFF;200;240;100.0;;;;;47.4926207616, 7.01654285948;http://lod.opentransportdata.swiss/didok/8500128
BD;Baden;2018;AG;SBB;32100;37600;19900.0;;;;;47.476420225, 8.3076927631;http://lod.opentransportdata.swiss/didok/8503504
BEBR;Bergün/Bravuogn;2018;GR;RhB;860;770;1100.0;;;;;46.6310688834, 9.74675138258;http://lod.opentransportdata.swiss/didok/8509197
BGL;Bürglen;2018;TG;SBB;680;760;490.0;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;47.5491005107, 9.14985544325;http://lod.opentransportdata.swiss/didok/8506106
BITS;Bitsch;2018;VS;MGB;230;260;180.0;;;;;46.3360623354, 8.01722222212;http://lod.opentransportdata.swiss/didok/8501677
BLL;Ballwil;2018;LU;SBB;630;710;450.0;;;;;47.1537643847, 8.31688138659;http://lod.opentransportdata.swiss/didok/8502023
BMA;Bauma;2018;ZH;SBB;640;670;600.0;;;;;47.3688358029, 8.87821095251;http://lod.opentransportdata.swiss/didok/8503134
BN;Bern;2018;BE;SBB;184000;206400;134100.0;Ohne RBS und TPF.;Sans RBS et TPF.;Senza RBS e TPF.;Without RBS and TPF.;46.948824497, 7.43911900576;http://lod.opentransportdata.swiss/didok/8507000
BON;Bonstetten-Wettswil;2018;ZH;SBB;3500;4200;2000.0;;;;;47.3258957392, 8.46817514105;http://lod.opentransportdata.swiss/didok/8502222
BONI;Boniswil;2018;AG;SBB;300;330;250.0;;;;;47.3150345145, 8.1845453245;http://lod.opentransportdata.swiss/didok/8502032
BOU;Bouveret;2018;VS;CFF;470;530;330.0;;;;;46.3858098753, 6.85324188489;http://lod.opentransportdata.swiss/didok/8501426
BS;Basel SBB;2018;BS;SBB;99800;111000;75000.0;Einsteigende in Richtung Ausland und Aussteigende aus dem Ausland sind nur zum Teil erfasst.;Les personnes montant et descendant des trains de et vers l’étranger ne sont que partiellement recensées.;Sono considerati solo in parte i passeggeri dall’estero che salgono e scendono dai treni.;Passengers boarding and alighting to/from abroad are only partially recorded.;47.5474041527, 7.58955146721;http://lod.opentransportdata.swiss/didok/8500010
BSC;Bassecourt;2018;JU;CFF;960;1100;570.0;;;;;47.3366812155, 7.24684027661;http://lod.opentransportdata.swiss/didok/8500122
BTW;Bettwiesen;2018;TG;THURBO;200;240;120.0;;;;;47.498616599, 9.02076959637;http://lod.opentransportdata.swiss/didok/8506182
BWL;Birrwil;2018;AG;SBB;180;200;150.0;;;;;47.2878476573, 8.19899810707;http://lod.opentransportdata.swiss/didok/8502033
BX;Buix;2018;JU;CFF;50;60;50.0;;;;;47.4793218519, 7.02995536103;http://lod.opentransportdata.swiss/didok/8500144
CC;Concise;2018;VD;CFF;50;60;50.0;;;;;46.8508695027, 6.72316155773;http://lod.opentransportdata.swiss/didok/8504203
CDM;Champ-du-Moulin;2018;NE;CFF;80;70;100.0;;;;;46.95990299, 6.77498412319;http://lod.opentransportdata.swiss/didok/8504217
CDUE;Cavadürli;2018;GR;RhB;50;50;50.0;;;;;46.8704048596, 9.8680252622;http://lod.opentransportdata.swiss/didok/8509069
CGY;Cugy FR;2018;FR;CFF;370;460;160.0;;;;;46.8160232571, 6.88916300569;http://lod.opentransportdata.swiss/didok/8504133
CH;Chur;2018;GR;SBB;24300;24900;23000.0;;;;;46.8530797552, 9.52892561961;http://lod.opentransportdata.swiss/didok/8509000
CHA;Chamoson;2018;VS;CFF;230;270;140.0;;;;;46.1888353853, 7.2410985744;http://lod.opentransportdata.swiss/didok/8501504
