"Haltestellen_Id";"Haltestellennummer";"Haltestellenkurzname";"Haltestellenlangname"
724;2277;"SHDO";"Kilchberg ZH,Schulhaus Dorfstr"
377;3822;"BKIS";"Killwangen, Bahnhof"
767;1397;"KIND";"Kindhausen AG"
766;757;"EIHH";"Kindhausen AG, Eichholz"
347;6506;"BABH07";"Kloten Balsberg, Bahnhof"
685;54;"KALL";"Küsnacht ZH, Allmend"
749;1488;"BKUE";"Küsnacht ZH, Bahnhof"
688;462;"BEST";"Küsnacht ZH, Bergstrasse"
388;516;"BOGL";"Küsnacht ZH, Boglerenstrasse"
386;610;"BUEH";"Küsnacht ZH, Bühlstrasse"
752;933;"GART";"Küsnacht ZH, Gartenstrasse"
387;1011;"GOBA";"Küsnacht ZH, Goldbacherstrasse"
751;1106;"HABA";"Küsnacht ZH, Hallenbad"
686;1182;"HESL";"Küsnacht ZH, Hesligenstrasse"
687;1189;"HIST";"Küsnacht ZH, Himmelistrasse"
689;1769;"OBHE";"Küsnacht ZH, Obere Heslibachst"
753;1779;"OBFE";"Küsnacht ZH, Oberfeld"
624;1818;"OBWA";"Küsnacht ZH, Oberwacht"
690;2122;"RAEN";"Küsnacht ZH, Ränkestrasse"
750;2043;"RKIK";"Küsnacht ZH, Reform. Kirche"
390;2167;"SIHG";"Küsnacht ZH, Schiedhaldensteig"
389;2168;"SIHE";"Küsnacht ZH, Schiedhaldenstr."
391;2327;"SUEB";"Küsnacht ZH, Schübel"
625;3744;"ZENK";"Küsnacht ZH, Zentrum"
322;12504;"LWIE99";"Langwies ZH"
312;12506;"MAI99";"Maiacher"
575;3134;"MASC";"Maur, Aschbach"
476;678;"MDOR";"Maur, Dorf"
477;1403;"MKIR";"Maur, Kirche"
475;1892;"MPLA";"Maur, Platten"
478;2342;"MSEE";"Maur, See"
311;12508;"NFOR99";"Neue Forch"
319;12509;"NHA99";"Neuhaus bei Hinteregg"
444;748;"EGGB";"Oberengstringen, Eggbühl"
445;1516;"LANZ";"Oberengstringen, Lanzrain"
447;1862;"PAEN";"Oberengstringen, Paradies"
446;2984;"OBEE";"Oberengstringen, Zentrum"
614;7020;"OSCH";"Oetwil a.d.L., Schweizäcker"
615;1094;"OHAL";"Oetwil an der Limmat, Halde"
617;1759;"OBDO";"Oetwil an der Limmat, Oberdorf"
616;1964;"OPOS";"Oetwil an der Limmat, Post"
338;2286;"SCHU07";"Opfikon, Schulstrasse"
337;6808;"OSCH07";"Opfikon, Schwimmbad"
463;833;"FELH";"Pfaffhausen, Feldhof"
464;1873;"PMUE";"Pfaffhausen, Müseren"
461;1871;"PFAF";"Pfaffhausen, Pfaffenstein"
462;2622;"SAGG";"Pfaffhausen, Sängglen"
621;641;"CRUZ07";"Regensdorf, Chrüzächer"
622;2986;"ZREG07";"Regensdorf, Zentrum"
345;6507;"RBAU07";"Rümlang, Bäuler"
745;1799;"RGEM07";"Rümlang, Gemeindehaus"
744;6682;"RHOE07";"Rümlang, Hörnlistrasse"
743;1542;"RLET07";"Rümlang, Letten"
746;1763;"ORUE07";"Rümlang, Oberdorf"
410;3186;"RUEB";"Rüschlikon, Bahnhof"
413;443;"BELV";"Rüschlikon, Belvoir"
639;515;"BODE";"Rüschlikon, Bodengasse"
416;6448;"EGGR";"Rüschlikon, Eggrain"
412;1505;"LANH";"Rüschlikon, Langhaldenstrasse"
415;6447;"LRAI";"Rüschlikon, Loorain"
417;1657;"MOOS";"Rüschlikon, Moosstrasse"
418;6492;"RPAR";"Rüschlikon, Park im Grüene"
409;6009;"RREB";"Rüschlikon, Rebsteig"
414;3187;"RSAU";"Rüschlikon, Säumerstrasse"
638;410;"BSRU";"Rüschlikon, Schlossstrasse"
411;2852;"WEID";"Rüschlikon, Weidstrasse"
318;12166;"SCH99";"Scheuren"
566;2166;"SCHE";"Scheuren, Station"
647;6299;"SAMR";"Schlieren, Am Rietpark"
292;6347;"SCHB";"Schlieren, Bahnhof"
646;6234;"SCHN";"Schlieren, Bahnhof Nord"
515;550;"BRUG";"Schlieren, Brunngasse"
291;838;"FSTR";"Schlieren, Feldstrasse"
696;935;"GASO";"Schlieren, Gasometerbrücke"
771;7003;"SGEI";"Schlieren, Geissweid"
648;6298;"SGOL";"Schlieren, Goldschlägistrasse"
517;1151;"HEIM";"Schlieren, Heimeliweg"
644;1327;"IGAS";"Schlieren, Industrie Gaswerk"
294;1388;"KESS";"Schlieren, Kesslerstrasse"
649;7000;"SMEU";"Schlieren, Meuchwis"
695;1690;"MULL";"Schlieren, Mülligen"
516;1694;"NASS";"Schlieren, Nassacker"
366;2051;"REIT";"Schlieren, Reitmen"
645;2141;"RUST";"Schlieren, Rütistrasse"
295;2436;"SPLI";"Schlieren, Spital Limmattal"
365;3748;"STAK";"Schlieren, Steinacker"
290;2631;"TAWI";"Schlieren, Talacker-Windegg"
