,Richtung,Linienname,Haltestellen_Id,Haltestellenlangname
0,1,2,222,"Zürich, Bahnhof Tiefenbrunnen"
1,1,72,243,"Zürich, Morgental"
2,2,31,126,"Zürich, Farbhof"
3,1,5,34,"Zürich, Laubegg"
4,2,37,500,"Zürich, Bahnhof Affoltern"
5,2,918,749,"Küsnacht ZH, Bahnhof"
6,1,61,58,"Zürich, Schwamendingerplatz"
7,1,40,159,"Zürich, Bucheggplatz"
8,2,5,95,"Zürich, Kirche Fluntern"
9,1,31,121,"Zürich, Kienastenwies"
10,1,17,104,"Zürich, Bahnhofplatz/HB"
11,2,79,633,"Zürich, Auzelg Ost"
12,1,301,274,"Dietikon, Bahnhof"
13,2,743,265,"Zürich, Bahnhof Stettbach"
14,1,3,112,"Zürich, Klusplatz"
15,1,33,86,"Zürich, Triemli"
16,1,46,79,"Zürich, Bahnhofquai/HB"
17,1,15,169,"Zürich, Bahnhof Stadelhofen"
18,1,2,227,"Zürich,Kalkbreite/Bhf.Wiedikon"
19,2,2,771,"Schlieren, Geissweid"
20,2,9,206,"Zürich, Hirzenbach"
21,2,6,271,"Zürich, Zoo"
22,2,8,197,"Zürich, Langmauerstrasse"
23,2,13,21,"Zürich, Frankental"
24,2,308,212,"Zürich, Bahnhof Altstetten N"
25,1,910,533,"Zollikerberg, Station"
26,2,67,538,"Zürich, Dunkelhölzli"
27,2,11,154,"Zürich, Auzelg"
28,2,61,503,"Zürich, Mühlacker"
29,2,8,582,"Zürich, Hardturm"
30,2,3,145,"Zürich, Albisrieden"
31,2,17,586,"Zürich, Werdhölzli"
32,2,94,155,"Zürich, Bahnhof Oerlikon"
33,1,13,578,"Zürich, Albisgütli"
34,1,916,685,"Küsnacht ZH, Allmend"
35,2,75,38,"Zürich, Seebacherplatz"
36,1,11,175,"Zürich, Rehalp"
37,1,69,199,"Zürich, Milchbuck"
38,2,35,711,"Zürich, Solidapark"
39,2,31,16,"Zürich, Bahnhof Altstetten"
40,1,9,187,"Zürich, Heuried"
41,1,29,192,"Zürich, ETH/Universitätsspital"
42,1,701,478,"Maur, See"
43,2,705,469,"Benglen, Bodenacher"
44,2,46,73,"Zürich, Rütihof"
45,1,6,253,"Zürich, Bahnhof Enge"
46,1,32,32,"Zürich, Strassenverkehrsamt"
47,2,70,479,"Zürich, Bahnhof Wollishofen"
