"Linien_Id";"Linienname";"VSYS";"Linienname_Fahrgastauskunft"
22;"10";"T";"10"
10;"11";"T";"11"
23;"12";"T";"12"
65;"13";"T";"13"
50;"14";"T";"14"
64;"15";"T";"15"
84;"161";"BZ";"161"
95;"162";"BZ";"162"
96;"163";"BZ";"163"
77;"165";"BZ";"165"
59;"17";"T";"17"
37;"184";"BZ";"184"
36;"185";"BZ";"185"
18;"2";"T";"2"
46;"25";"SB";"25"
47;"29";"B";"Uni-Shuttle"
13;"3";"T";"3"
68;"301";"BL";"301"
17;"302";"BL";"302"
24;"303";"BL";"303"
42;"304";"BL";"304"
104;"305";"BL";"305"
98;"306";"BL";"306"
79;"307";"BL";"307"
43;"308";"BL";"308"
41;"309";"BL";"309"
8;"31";"TR";"31"
85;"311";"BL";"311"
51;"314";"BL";"314"
108;"315";"BL";"315"
67;"32";"TR";"32"
86;"325";"BL";"325"
7;"33";"TR";"33"
52;"330";"BL";"330"
82;"331";"BL";"331"
20;"341";"N";"N11"
30;"342";"N";"N12"
100;"343";"N";"N13"
28;"344";"N";"N14"
29;"345";"N";"N15"
93;"346";"N";"N16"
92;"347";"N";"N17"
72;"348";"N";"N18"
106;"349";"N";"N19"
91;"35";"B";"35"
109;"352";"N";"N30"
78;"37";"B";"37"
103;"38";"B";"38"
90;"39";"B";"39"
71;"391";"N";"N1"
99;"392";"N";"N2"
31;"394";"N";"N4"
80;"395";"N";"N5"
94;"396";"N";"N6"
21;"397";"N";"N7"
70;"398";"N";"N8"
12;"4";"T";"4"
61;"40";"B";"40"
89;"411";"TR";"31E"
44;"412";"TR";"33E"
26;"417";"FB";"S18S"
19;"418";"FB";"S18"
27;"419";"FB";"SN18"
97;"45";"BZ";"45"
6;"46";"TR";"46"
62;"5";"T";"5"
107;"54";"B";"54"
16;"6";"T";"6"
39;"61";"B";"61"
40;"62";"B";"62"
69;"64";"B";"64"
32;"66";"B";"66"
48;"67";"B";"67"
38;"69";"B";"69"
15;"7";"T";"7"
63;"70";"B";"70"
35;"701";"BG";"701"
34;"703";"BG";"703"
33;"704";"BG";"704"
75;"705";"BG";"705"
14;"72";"TR";"72"
74;"73";"B";"73"
56;"743";"BG";"743"
54;"744";"BG";"744"
53;"745";"BG";"745"
5;"75";"B";"75"
55;"751";"BG";"751"
73;"753";"BG";"753"
49;"76";"B";"76"
83;"77";"B";"77"
60;"78";"B";"78"
76;"79";"B";"79"
66;"8";"T";"8"
9;"80";"B";"80"
58;"83";"B";"83"
4;"89";"B";"89"
11;"9";"T";"9"
81;"91";"BP";"91"
45;"910";"BP";"910"
25;"912";"BP";"912"
87;"916";"BP";"916"
88;"917";"BP";"917"
102;"918";"BP";"918"
101;"919";"BP";"919"
57;"94";"B";"94"
