NHSTID,DIVA_NR,Y_KOORD,X_KOORD,CHSTNAME,CNAME,VTYP,HSTTYP,HAFAS_PRIO,LINKTEXT,ZONEN,SYMB_CODE,SYMB_TEXT,LINIEN,E,N
8591225,3121,,,"Zürich, Genossenschaftsstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"781,787,N78",2684804,1252206
8503004,13041,,,Zürich Tiefenbrunnen,Zürich,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,110,1,Bahn,"S6,SN6,SN7,S16",2684844,1244981
8591343,2326,,,"Zürich, Schörlistrasse",Zürich,Tram,&nbsp;,2,,110,5,Tram,"7,9",2684932,1251178
8591116,716,,,"Zürich, Dunkelhölzli",Zürich,Bus,&nbsp;,0,,110,2,Bus,"35,67,78,N13",2677876,1249185
8591333,2152,,,"Zürich, Salzweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,"35,67,78,N13",2678007,1249055
8596008,6998,,,"Zürich, Hermetschloo",Zürich,,&nbsp;,0,,,99,,,2678140,1249764
8591284,1698,,,"Zürich, Neeserweg",Zürich,Bus,&nbsp;,0,,110,2,Bus,35,2678225,1249379
8591155,944,,,"Zürich, Geeringstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,89,485,N4",2678622,1252036
8576242,1045,,,"Zürich, Grünwald",Zürich,Bus,&nbsp;,0,,110,2,Bus,485,2678824,1252368
8591158,979,,,"Zürich, Giblenstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"46,N4",2679044,1251629
8591214,1320,,,"Zürich, In der Ey",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"33,80,N14",2679534,1247022
8591203,1252,,,"Zürich, Hubertus",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"3,33,83,89,N14",2680089,1247935
8591351,2302,,,"Zürich, Schweighof",Zürich,Bus,&nbsp;,0,,110,2,Bus,"73,89,N5",2680377,1246537
8591334,2142,,,"Zürich, SBB-Werkstätte",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N2",2680395,1248960
8591353,2306,,,"Zürich, Schwert",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"13,38,46,N4,N8",2680487,1250426
8591374,2449,,,"Zürich, Sportweg",Zürich,Tram,&nbsp;,2,,110,5,Tram,4,2680574,1249525
8591054,3021,,,"Zürich, Bahnhof Affoltern",Zürich,Bus,&nbsp;,0,,110,2,Bus,"37,61,62,N1",2680648,1252813
8591118,767,,,"Zürich, Einfangstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"32,61,62,N1",2681072,1252209
8502572,1012,,,"Zürich, Goldbrunnenplatz",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"9,14,32,67,215,220,235,236,245,350,N5",2681214,1247159
8591089,508,,,"Zürich, Bleulerstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,77,2685609,1244653
8591114,711,,,"Zürich, Dreiwiesen",Zürich,Bus,&nbsp;,0,,110,2,Bus,751,2685864,1248176
8591211,1311,,,"Zürich, Im Klösterli",Zürich,Bus,&nbsp;,0,,110,2,Bus,39,2685952,1248823
8591107,617,,,"Zürich, Zentrum Witikon",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,91,701,703,704,N16,N19",2686724,1245909
8591072,455,,,"Zürich, Berghaldenstrasse",Zürich,"Bus,Trolleybus",&nbsp;,0,,110,2,Bus,"31,N16,N19",2686986,1245949
8591194,1220,,,"Zürich, Hirzenbach",Zürich,Tram,&nbsp;,2,,110,5,Tram,9,2686996,1250909
8591432,3772,,,"Zürich, Wiesliacher",Zürich,Bus,&nbsp;,0,,110,2,Bus,91,2687501,1245575
8594239,6759,,,"Zürich, Schiffbau",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"4,8,33,72,83,N5,N8",2681637,1249140
8591154,916,,,"Zürich, Frymannstrasse",Zürich,Bus,&nbsp;,0,,110,2,Bus,"70,N12",2681665,1243259
8591418,2801,,,"Zürich, Waidhof",Zürich,Bus,&nbsp;,0,,110,2,Bus,"62,N1",2681822,1253127
8503011,13042,,,Zürich Wiedikon,Zürich,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,110,1,Bahn,"S2,S8,SN8,S24",2681899,1247341
8591110,648,,,"Zürich, Löwenbräu",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"4,6,13,N1,N4,N5,N7,N13",2682101,1249191
8591415,2795,,,"Zürich, Waffenplatzstrasse",Zürich,"Bus,Tram,Trolleybus",&nbsp;,2,,110,3,Bus Tram,"5,10,13,66,72,N12",2682123,1246195
8591427,6238,,,"Zürich, Werd",Zürich,Tram,&nbsp;,2,,110,5,Tram,"9,14",2682185,1247430
8591059,199,,,"Zürich, Bahnhof Enge/Bederstr.",Zürich,"Bus,Tram",&nbsp;,2,,110,3,Bus Tram,"5,10,13,200,210,444,445,N12",2682474,1246541
8591076,3587,,,"Zürich, Berufswahlschule",Zürich,Bus,&nbsp;,0,,110,2,Bus,40,2682629,1250971
8591241,3141,,,"Zürich, Landiwiese",Zürich,Bus,&nbsp;,0,,110,2,Bus,"161,165,N15",2682780,1245037
8591326,2108,,,"Zürich, Rotbuchstrasse",Zürich,Trolleybus,&nbsp;,0,,110,2,Bus,"32,33",2682860,1249518
8503681,2952,,,"Zürich Wollishofen, Schiffst.",Zürich,Schiff,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp1.gif" ALT="Schiffsstation">,1,,110,4,Schiff,3730,2682985,1244430
8591191,6250,,,"Zürich, Himmeri",Zürich,Bus,&nbsp;,0,,110,2,Bus,"75,N6",2683006,1252714
8503000,13030,,,Zürich HB,Zürich,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,110,1,Bahn,"SN1,S2,S3,S5,SN5,S6,SN6,S7,SN7,S8,SN8,S9,SN9,S11,S12,S14,S15,S16,S19,S21,S24,S25,S42",2683018,1248099
8503088,14011,,,Zürich HB SZU,Zürich,S-Bahn,<IMG SRC="../gisbrowser/_img/ZVV/HstTyp4.gif" ALT="S-Bahn Haltestelle">,4,,110,1,Bahn,"S4,SN4,S10",2683101,1248002
8591093,601,,,"Zürich, Kantonalbank",Zürich,Tram,&nbsp;,2,,110,5,Tram,"2,8,9,11",2683170,1246953
8591071,435,,,"Zürich, Beckenhof",Zürich,Tram,&nbsp;,2,,110,5,Tram,"11,14",2683198,1248723
